sentances,predictions
"Seven pregnancies were complicated by fetal anti-Ro-related cardiac disease (17.9%) including four cases (57.1%) of second-degree heart block, two cases of third degree heart block (28.6%) and one case (14.3%) of intense and diffuse hyperechogenicity in atrioventricular valves without heart block.","[{'Seven': 'O'}, {'pregnancies': 'O'}, {'were': 'O'}, {'complicated': 'O'}, {'by': 'O'}, {'fetal': 'O'}, {'anti-Ro-related': 'O'}, {'cardiac': 'B-Entity'}, {'disease': 'I-Entity'}, {'(17.9%)': 'O'}, {'including': 'O'}, {'four': 'O'}, {'cases': 'O'}, {'(57.1%)': 'O'}, {'of': 'O'}, {'second-degree': 'O'}, {'heart': 'B-Entity'}, {'block,': 'I-Entity'}, {'two': 'O'}, {'cases': 'O'}, {'of': 'O'}, {'third': 'O'}, {'degree': 'O'}, {'heart': 'B-Entity'}, {'block': 'I-Entity'}, {'(28.6%)': 'O'}, {'and': 'O'}, {'one': 'O'}, {'case': 'O'}, {'(14.3%)': 'O'}, {'of': 'O'}]"
"Because pain perception has been linked to catastrophizing in other diseases, we assessed subjects with primary SS (pSS) to explore a possible link between pain, illness appraisal, and catastrophizing.","[{'Because': 'O'}, {'pain': 'I-Entity'}, {'perception': 'O'}, {'has': 'O'}, {'been': 'O'}, {'linked': 'O'}, {'to': 'O'}, {'catastrophizing': 'O'}, {'in': 'O'}, {'other': 'O'}, {'diseases,': 'O'}, {'we': 'O'}, {'assessed': 'O'}, {'subjects': 'O'}, {'with': 'O'}, {'primary': 'O'}, {'SS': 'I-Entity'}, {'(pSS)': 'O'}, {'to': 'O'}, {'explore': 'O'}, {'a': 'O'}, {'possible': 'O'}, {'link': 'O'}, {'between': 'O'}, {'pain,': 'I-Entity'}, {'illness': 'O'}, {'appraisal,': 'O'}, {'and': 'O'}, {'catastrophizing.': 'O'}]"
"However, recurrent aseptic meningitis, reported as the most uncommon initial symptom, was the presenting feature in our case.","[{'However,': 'O'}, {'recurrent': 'O'}, {'aseptic': 'B-Entity'}, {'meningitis,': 'I-Entity'}, {'reported': 'O'}, {'as': 'O'}, {'the': 'O'}, {'most': 'O'}, {'uncommon': 'O'}, {'initial': 'O'}, {'symptom,': 'O'}, {'was': 'O'}, {'the': 'O'}, {'presenting': 'O'}, {'feature': 'O'}, {'in': 'O'}, {'our': 'O'}, {'case.': 'O'}]"
Salivary glands of NOD mice displayed marked leukocyte infiltration and reduced GILZ expression in association with increased IL-17 but decreased Del-1 expression.,"[{'Salivary': 'O'}, {'glands': 'O'}, {'of': 'O'}, {'NOD': 'O'}, {'mice': 'O'}, {'displayed': 'O'}, {'marked': 'O'}, {'leukocyte': 'O'}, {'infiltration': 'O'}, {'and': 'O'}, {'reduced': 'O'}, {'GILZ': 'O'}, {'expression': 'O'}, {'in': 'O'}, {'association': 'O'}, {'with': 'O'}, {'increased': 'O'}, {'IL-17': 'O'}, {'but': 'O'}, {'decreased': 'O'}, {'Del-1': 'O'}, {'expression.': 'O'}]"
"Associated medical conditions included Hashimoto thyroiditis, Sjogren's syndrome, seronegative arthritis, food hypersensitivities, asthma, sleep apnea, and vasculitis.","[{'Associated': 'O'}, {'medical': 'O'}, {'conditions': 'O'}, {'included': 'O'}, {'Hashimoto': 'B-Entity'}, {'thyroiditis,': 'I-Entity'}, {""Sjogren's"": 'B-Entity'}, {'syndrome,': 'I-Entity'}, {'seronegative': 'O'}, {'arthritis,': 'I-Entity'}, {'food': 'B-Entity'}, {'hypersensitivities,': 'I-Entity'}, {'asthma,': 'I-Entity'}, {'sleep': 'B-Entity'}, {'apnea,': 'I-Entity'}, {'and': 'O'}, {'vasculitis.': 'I-Entity'}]"
"These results suggest that ACA is an autoantibody reflecting impairment in the salivary and lacrimal glands and may be a useful serologic marker for SS.of Life Dentistry at Niigata, The Nippon Dental University, 1-8 Hamaura-cho, Chuo-ku, Niigata 951-8580, Japan.","[{'These': 'O'}, {'results': 'O'}, {'suggest': 'O'}, {'that': 'O'}, {'ACA': 'O'}, {'is': 'O'}, {'an': 'O'}, {'autoantibody': 'O'}, {'reflecting': 'O'}, {'impairment': 'B-Entity'}, {'in': 'I-Entity'}, {'the': 'I-Entity'}, {'salivary': 'I-Entity'}, {'and': 'I-Entity'}, {'lacrimal': 'I-Entity'}, {'glands': 'I-Entity'}, {'and': 'O'}, {'may': 'O'}, {'be': 'O'}, {'a': 'O'}, {'useful': 'O'}, {'serologic': 'O'}, {'marker': 'O'}, {'for': 'O'}, {'SS.of': 'I-Entity'}, {'Life': 'O'}, {'Dentistry': 'O'}, {'at': 'O'}, {'Niigata,': 'O'}, {'The': 'O'}, {'Nippon': 'O'}, {'Dental': 'O'}, {'University,': 'O'}, {'1-8': 'O'}, {'Hamaura-cho,': 'B-Entity'}]"
"Renal tissue samples from patients with tubulointerstitial disease secondary to primary Sjogren's disease (SS, n‚Äö√Ñ√¢=‚Äö√Ñ√¢10), chronic tubulointerstitial nephritis secondary to drug (CIN, n‚Äö√Ñ√¢=‚Äö√Ñ√¢8) were included in this study.","[{'Renal': 'O'}, {'tissue': 'O'}, {'samples': 'O'}, {'from': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'tubulointerstitial': 'B-Entity'}, {'disease': 'I-Entity'}, {'secondary': 'O'}, {'to': 'O'}, {'primary': 'B-Entity'}, {""Sjogren's"": 'I-Entity'}, {'disease': 'I-Entity'}, {'(SS,': 'O'}, {'n‚Äö√Ñ√¢=‚Äö√Ñ√¢10),': 'O'}]"
"Six women, aged 35-64, had non-length-dependent SFN, related to Crohn disease, impaired glucose tolerance and Sjogrens syndrome, or idiopathic (three cases).","[{'Six': 'O'}, {'women,': 'O'}, {'aged': 'O'}, {'35-64,': 'O'}, {'had': 'O'}, {'non-length-dependent': 'O'}, {'SFN,': 'I-Entity'}, {'related': 'O'}, {'to': 'O'}, {'Crohn': 'B-Entity'}, {'disease,': 'I-Entity'}, {'impaired': 'B-Entity'}, {'glucose': 'I-Entity'}, {'tolerance': 'I-Entity'}, {'and': 'O'}, {'Sjogrens': 'B-Entity'}, {'syndrome,': 'I-Entity'}, {'or': 'O'}, {'idiopathic': 'O'}, {'(three': 'O'}, {'cases).': 'O'}]"
"Such symptoms as a hypergammaglobulinemia, positive RF without persistant arthritis, nonspecific skin lesions, recurrent parotid swelling may help to diagnosis of SS.Department.Department.Department.in Sjogrens syndrome: a systematic review and meta-analysis.","[{'Such': 'O'}, {'symptoms': 'O'}, {'as': 'O'}, {'a': 'O'}, {'hypergammaglobulinemia,': 'I-Entity'}, {'positive': 'O'}, {'RF': 'I-Entity'}, {'without': 'O'}, {'persistant': 'O'}, {'arthritis,': 'I-Entity'}, {'nonspecific': 'O'}, {'skin': 'O'}, {'lesions,': 'O'}, {'recurrent': 'O'}, {'parotid': 'B-Entity'}, {'swelling': 'I-Entity'}, {'may': 'O'}, {'help': 'O'}, {'to': 'O'}, {'diagnosis': 'O'}, {'of': 'O'}, {'SS.Department.Department.Department.in': 'I-Entity'}, {'Sjogrens': 'B-Entity'}, {'syndrome:': 'I-Entity'}, {'a': 'O'}, {'systematic': 'O'}, {'review': 'O'}, {'and': 'O'}, {'meta-analysis.': 'O'}]"
"These findings therefore demonstrate that the IkappaBalpha-mediated feedback regulation of NF-kappaB has an essential role in controlling T-cell development and functions, provide mechanistic insight into the development of Sjogrens Syndrome, and suggest the potential of NF-kappaB signaling as a therapeutic target for Sjogrens Syndrome and other autoimmune diseases.Center, Houston, TX 77030, USA.Epub 2010 Aug 9.diagnosis: analysis of 10,500 patients (Sjogren Big Data Project).","[{'These': 'O'}, {'findings': 'O'}, {'therefore': 'O'}, {'demonstrate': 'O'}, {'that': 'O'}, {'the': 'O'}, {'IkappaBalpha-mediated': 'O'}, {'feedback': 'O'}, {'regulation': 'O'}, {'of': 'O'}, {'NF-kappaB': 'O'}, {'has': 'O'}, {'an': 'O'}, {'essential': 'O'}, {'role': 'O'}, {'in': 'O'}, {'controlling': 'O'}, {'T-cell': 'O'}, {'development': 'O'}, {'and': 'O'}, {'functions,': 'O'}, {'provide': 'O'}, {'mechanistic': 'O'}, {'insight': 'O'}, {'into': 'O'}, {'the': 'O'}, {'development': 'O'}, {'of': 'O'}, {'Sjogrens': 'B-Entity'}, {'Syndrome,': 'I-Entity'}, {'and': 'O'}, {'suggest': 'O'}, {'the': 'O'}, {'potential': 'O'}, {'of': 'O'}, {'NF-kappaB': 'O'}]"
